デンプン粒の種類,粒径範囲
イネ_松尾,9.98
イネ_松尾,6.57
イネ_松尾,6.71
イネ_松尾,4.99
イネ_松尾,6.58
イネ_松尾,8.76
イネ_松尾,6.58
イネ_松尾,8.76
イネ_松尾,6.58
イネ_松尾,6.78
イネ_松尾,5
イネ_松尾,4.47
イネ_松尾,8.9
イネ_松尾,5
イネ_松尾,6.58
イネ_松尾,6.78
イネ_松尾,5
イネ_松尾,4.47
イネ_松尾,8.9
イネ_松尾,5
イネ_松尾,6.7
イネ_松尾,8.77
イネ_松尾,6.68
トロロアオイ_松尾,19.09
トロロアオイ_松尾,13.025
トロロアオイ_松尾,11.14
トロロアオイ_松尾,10
トロロアオイ_松尾,22.01
トロロアオイ_松尾,27.19
トロロアオイ_松尾,9.21
トロロアオイ_松尾,17.992
トロロアオイ_松尾,16.11
トロロアオイ_松尾,27.19
トロロアオイ_松尾,9.21
トロロアオイ_松尾,16.11
トロロアオイ_松尾,22.57
トロロアオイ_松尾,26.9
トロロアオイ_松尾,18
トロロアオイ_松尾,13.03
トロロアオイ_松尾,18.02
トロロアオイ_松尾,15.8
トロロアオイ_松尾,17.96
トロロアオイ_松尾,10
トロロアオイ_松尾,29.05
トロロアオイ_松尾,22.35
トロロアオイ_松尾,13.4
トロロアオイ_松尾,20.59
トロロアオイ_松尾,21.99
トロロアオイ_松尾,25
トロロアオイ_松尾,10
トロロアオイ_松尾,19.09
トロロアオイ_松尾,9.99
トロロアオイ_松尾,17.02
種不明_松尾,18.02
種不明_松尾,17.99
種不明_松尾,13.59
種不明_松尾,17
種不明_松尾,16.12
種不明_松尾,14.3
種不明_松尾,15.64
種不明_松尾,20.24
種不明_松尾,13.59
種不明_松尾,32.22
種不明_松尾,36.84
種不明_松尾,13
種不明_松尾,25.47
種不明_松尾,21.1
種不明_松尾,15.8
種不明_松尾,18
種不明_松尾,31.92
種不明_松尾,17.88
種不明_松尾,15.35
種不明_松尾,14.04
種不明_松尾,14.71
種不明_松尾,15.95
種不明_松尾,14.31
種不明_松尾,18.09
種不明_松尾,17.94
種不明_松尾,24.59
種不明_松尾,19.98
種不明_松尾,16.12
種不明_松尾,9.21
種不明_松尾,40.76
種不明_松尾,26.99
種不明_松尾,19.1
種不明_松尾,17.01
種不明_松尾,17.87
種不明_松尾,17.84
種不明_松尾,9.21
種不明_松尾,15.6
種不明_松尾,33.74
種不明_松尾,15.8
種不明_松尾,17.68
種不明_松尾,24.23
種不明_松尾,19.86
種不明_松尾,27.13
種不明_松尾,19.59
種不明_松尾,25.48
種不明_松尾,17.87
種不明_松尾,11.17
種不明_松尾,15.78
種不明_松尾,14.31
種不明_松尾,17.66
種不明_松尾,18.02
種不明_松尾,17.99
種不明_松尾,13.59
種不明_松尾,18.02
種不明_松尾,17.99
種不明_松尾,13.59
種不明_松尾,17
種不明_松尾,16.12
種不明_松尾,14.3
種不明_松尾,17
種不明_松尾,16.12
種不明_松尾,14.3
種不明_松尾,15.64
種不明_松尾,20.24
種不明_松尾,13.59
種不明_松尾,32.22
種不明_松尾,36.84
種不明_松尾,13
種不明_松尾,25.47
種不明_松尾,21.1
種不明_松尾,15.8
種不明_松尾,18
種不明_松尾,31.92
種不明_松尾,17.88
種不明_松尾,15.35
種不明_松尾,14.04
種不明_松尾,14.71
種不明_松尾,15.95
種不明_松尾,14.31
種不明_松尾,18.09
種不明_松尾,17.94
種不明_松尾,24.59
種不明_松尾,19.98
種不明_松尾,16.12
種不明_松尾,9.21
種不明_松尾,40.76
種不明_松尾,26.99
種不明_松尾,19.1
種不明_松尾,17.01
種不明_松尾,17.87
種不明_松尾,17.84
種不明_松尾,9.21
種不明_松尾,15.6
種不明_松尾,33.74
種不明_松尾,15.8
種不明_松尾,17.68
種不明_松尾,24.23
種不明_松尾,19.86
種不明_松尾,27.13
種不明_松尾,19.59
種不明_松尾,25.48
種不明_松尾,17.87
種不明_松尾,11.17
種不明_松尾,15.78
種不明_松尾,14.31
種不明_松尾,17.66
